"MI_PRINX","offense_id","rpt_date","occur_date","occur_time","poss_date","poss_time","beat","apt_office_prefix","apt_office_num","location","MinOfucr","MinOfibr_code","dispo_code","MaxOfnum_victims","Shift","Avg.Day","loc_type","UC2.Literal","neighborhood","npu","x","y","X","X.1","X.2"
948642,91350923,"5/15/2009","4/8/2009","22:00:00","5/15/2009","6:00:00",303,NA,"1","3","5","728 FORMWALT ST SW","511",2202,NA,"1","Unk","Unk","26","BURGLARY-RESIDENCE","Mechanicsville","V","-84.39575",33.73499,NA
949357,91420511,"5/22/2009","5/20/2009","12:00:00","5/22/2009","8:00:00",108,NA,"A","B","306 ANDERSON AVE NW","511","2202",NA,"1","Unk","Unk","26","BURGLARY-RESIDENCE","Dixie Hills","J","-84.45138","33.76356",NA,NA
949987,91471067,"5/27/2009","5/27/2009","12:00:00","5/27/2009","13:00:00",310,"11","B","C","2637 OLD HAPEVILLE RD SW","690","2399",NA,"1","Day","Wed",NA,"LARCENY-NON VEHICLE","Browns Mill Park","Z","-84.39752","33.6839",NA,NA
950592,91521689,"6/1/2009","6/1/2009","9:00:00","6/1/2009","18:30:00",602,NA,"3402","3","240 N HIGHLAND AVE NE","511","2202",NA,"0","Day","Mon","26","BURGLARY-RESIDENCE","Inman Park","N","-84.35933","33.76234",NA,NA
988201,101540909,"6/3/2010","6/2/2010","18:00:00","6/3/2010","10:46:00",313,"C","2","3","4","925 CONLEY RD SE","511",2202,NA,"1","Unk","Thu","20","BURGLARY-RESIDENCE","South River Gardens","Z","-84.36061",33.64996,NA
989827,101701138,"6/19/2010","6/2/2010","15:30:00","6/19/2010","14:30:00",307,NA,"A","B&C","1921 JONESBORO RD SE","511","2202",NA,"1","Unk","Unk","26","BURGLARY-RESIDENCE","Lakewood Heights","Y","-84.37523","33.70229",NA,NA
1028240,111971638,"7/16/2011","7/3/2011","0:01:00","7/7/2011","0:01:00",303,NA,"8","9","10","571 FORMWALT ST SW","690",2399,NA,"1","Unk","Unk","20","LARCENY-NON VEHICLE","Mechanicsville","V","-84.39589",33.7391,NA
1029575,112090917,"7/28/2011","7/28/2011","10:00:00","7/28/2011","10:00:00",305,NA,"A","B","1295 ROBERTS DR SE","511","2202",NA,"1","Day","Thu","26","BURGLARY-RESIDENCE","Chosewood Park","Y","-84.36999","33.71767",NA,NA
1033040,112411694,"8/29/2011","8/26/2011","17:30:00","8/29/2011","10:30:00",410,"J","J2"," J5","1975 ALISON CT SW","690","2399",NA,"1","Unk","Unk","26","LARCENY-NON VEHICLE","Campbellton Road","R","-84.45326","33.70158",NA,NA
1040101,113130827,"11/9/2011","11/8/2011","17:00:00","11/8/2011","17:30:00",312,"E","1","2","50 MOUNT ZION RD SW","511","2202",NA,"1","Eve","Tue","26","BURGLARY-RESIDENCE","Glenrose Heights","Z","-84.38997","33.6694",NA,NA
1041058,113221244,"11/18/2011","11/17/2011","20:00:00","11/18/2011","9:00:00",305,NA,"B","A","1290 PARK AVE SE","512","2203",NA,"1","Morn","Fri",NA,"BURGLARY-NONRES","Chosewood Park","Y","-84.37022","33.71951",NA,NA
1041484,113270554,"11/23/2011","11/23/2011","8:00:00","11/23/2011","8:00:00",305,NA,"A","B","C","1290 PARK AVE SE","511",2202,NA,"1","Day","Wed","26","BURGLARY-RESIDENCE","Chosewood Park","Y","-84.37037",33.71941,NA
1044003,113531411,"12/19/2011","12/19/2011","15:00:00","12/19/2011","15:00:00",409,NA,"54","51","3350 MOUNT GILEAD RD SW","690","2399",NA,"1","Eve","Mon","20","LARCENY-NON VEHICLE","Southwest","R","-84.49859","33.6982",NA,NA
1044547,113590628,"12/25/2011","12/25/2011","12:50:00","12/25/2011","13:10:00",410,NA,"K9","K5","1991 DELOWE DR SW","410","1314",10,"3","Day","Sun","26","AGG ASSAULT","Campbellton Road","R","-84.45895","33.70002",NA,NA
1047154,120230979,"1/23/2012","1/23/2012","6:00:00","1/23/2012","7:00:00",408,"A","C",NA,"1975 ALISON","512","2203",NA,"1","Morn","Mon","26","BURGLARY-NONRES","Campbellton Road","R","-84.45343","33.70134",NA,NA
1068317,122561142,"9/12/2012","9/10/2012","0:00:00","9/11/2012","15:00:00",114,"9","C","D","F","","3804 MARTIN L KING JR DR SW",670,"2308",NA,"1","Unk","Mon","26","LARCENY-NON VEHICLE","Old Gordon","H",-84.51476,33.768
1079314,130101490,"1/10/2013","1/10/2013","9:15:00","1/10/2013","12:00:00",203,NA,"B","C","D","2140 JAMES JACKSON PKWY NW","640",2305,NA,"1","Day","Thu","99","LARCENY-FROM VEHICLE","Whittier Mill Village","D","-84.47724",33.81427,NA
1120121,141260924,"5/6/2014","5/2/1920","13:00:00","5/6/2014","10:00:00",402,NA,NA,"1025 LAWTON AVE SW","511","2202",NA,1,"Unk","Unk","20","BURGLARY-RESIDENCE","Oakland City","S","-84.42125","33.72587","",NA,NA
1123157,141621526,"6/11/2014","6/9/2014","13:30:00","6/11/2014","12:00:00",409,NA,"37C","DH","2909 CAMPBELLTON RD SW @CASCADE PINES APTS","690","2399",NA,"1","Unk","Unk","","LARCENY-NON VEHICLE","Southwest","R","-84.48348","33.70165",NA,NA
1131766,142570818,"9/14/2014","9/13/2014","23:00:00","9/14/2014","8:00:00",211,NA,"E","F","2255 PEACHTREE RD NE","512","2203",NA,"1","Morn","Sun","21","BURGLARY-NONRES",NA,"E","-84.39093","33.81563",NA,NA
1152054,151362710,"5/16/2015","5/16/2015","13:00:00","5/16/2015","22:00:00",101,"B","1","7","879 PARSONS ST SW","521","2204",NA,"2","Eve","Sat","26","BURGLARY-RESIDENCE","Atlanta University Center","T","-84.41635","33.75089",NA,NA
